magnitude,longitude,latitude
0.95,-116.3128333,32.9853333
4.5,-69.5706,-31.455
0.43,-116.5101667,33.4788333
1.8,-149.8336,62.4442
0.49,-116.6318333,33.458
2.5,-104.496,31.625
1.79,-122.745666503906,38.7874984741211
0.57,-110.402333333333,44.1145
2.44,-121.435501098633,36.8354988098145
1.13,-117.1525,33.988
1.86,-120.661163330078,36.0970001220703
1.88,-155.495330810547,19.1730003356934
2.3,-141.1264,59.9399
5.7,-67.3038,-19.1251
1.5,-104.348,31.681
1.8,-147.3973,61.6075
2.07999992,-155.492828369141,19.1844997406006
1.2,-148.8169,65.1421
0.75,-116.337,32.9278333
1.9,-104.194,31.612
0.31,-116.7206667,33.6438333
1.2,-151.4085,61.6852
0.79,-116.7548333,33.4713333
2.55,-67.0141666666667,17.956
1.75,-117.4755,35.6803333
0.4,-116.7231667,33.6716667
1.8,-151.7451,63.2894
1.4,-101.693,32.436
1.67,-112.260833333333,38.4428333333333
0.55,-122.187,46.20016666666667
1.6,-104.453,31.663
0.85,-112.8795,38.4921666666667
0.94,-112.879666666667,38.4943333333333
2.5,-146.3455,61.5742
5,-179.427,-33.819
0.76,-97.94866667,35.35016667
0.99,-116.8883333,33.7673333
2.23,-155.408660888672,19.1546669006348
2.01,-122.792663574219,38.8346672058105
1.86,-155.232333333333,19.3583333333333
1.3,-101.047,32.154
1.3,-117.1336,37.7341
0.3,-116.9513,37.5796
2.1,-141.3328,60.1668
-0.1,-115.7331,36.6377
0.5,-117.1467,37.7315
2.11999989,-155.398330688477,19.1613330841064
1.2,-117.1066,37.7609
2.4,-66.932,18.1975
0.69,-112.878666666667,38.4925
1.4,-114.712,37.6852
1.86000001,-155.408340454102,19.2054996490479
1.87,-155.434997558594,19.2356662750244
4.3,-178.0225,-17.958
0.58,-112.877166666667,38.4928333333333
0.75,-122.853996276855,38.8271675109863
1.1,-122.792167663574,38.836498260498
1.5,-103.808,31.969
4.4,127.2591,1.6682
1.95,-118.2658333,36.2148333
2,-103.482,31.876
0.2,-116.2573,36.5297
4.3,48.3405,39.615
1.6,-149.2378,64.4814
1.5,-103.79,31.974
0.64,-116.2181667,33.8856667
1,-117.0991,37.7795
1.57,-121.983665466309,40.542667388916
3.36,-67.3298333333333,18.867
0.8,-117.1551,37.731
1.6,-152.2471,59.9571
0.73,-116.429,33.3523333
0.76,-122.852333068848,38.8214988708496
0.3,-116.6376667,33.6908333
1.51,-122.851997375488,38.8208351135254
1.28,-121.623168945312,36.9731674194336
1.1,-117.1424,37.7248
